GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE,Facility Id,Latitude,Longitude,_source_sheet,owner
1002389.0,110070244347.0,2023.0,CITGO PETROLEUM CORP - LAKE CHARLES MANUFACTURING COMPLEX,4401 Hwy 108,Westlake,LA,70665,CALCASIEU PARISH,PDV AMERICA INC,1293 Eldridge Parkway,Houston,TX,77077,100.0,324110.0,1002389,30.18887,-93.32524,Direct Point Emitters,other
1002461.0,110000746658.0,2023.0,ULTRAMAR INC WILMINGTON REFINERY,2402 EAST ANAHEIM STREET,WILMINGTON,CA,90744,LOS ANGELES COUNTY,VALERO ENERGY CORP,1 Valero Way,San Antonio,TX,78249,100.0,324110.0,1002461,33.7783,-118.2351,Direct Point Emitters,VALERO ENERGY CORP
1002565.0,110000481684.0,2023.0,SAN JOAQUIN REFINING CO INC,3500 SHELL STREET,BAKERSFIELD,CA,93308,KERN COUNTY,SAN JOAQUIN REFINING CO INC,3500 Shell Street,Bakersfield,CA,93308,100.0,324110.0,1002565,35.39511,-119.04652,Direct Point Emitters,other
1002657.0,110000464006.0,2023.0,PREMCOR REFINING GROUP INCORPORATED PORTARTHUR REFINERY,1801 SOUTH GULFWAY DRIVE,PORT ARTHUR,TX,77640,JEFFERSON COUNTY,VALERO ENERGY CORP,1 Valero Way,San Antonio,TX,78249,100.0,324110.0,1002657,29.868333,-93.968333,Direct Point Emitters,VALERO ENERGY CORP
1002798.0,110070104834.0,2023.0,HUNT SOUTHLAND REFINING COMPANY,177 Haney Road,Heidelberg,MS,39439,JONES COUNTY,HUNT CRUDE OIL SUPPLY CO LLC,2200 Jack Warner Pkwy Ne,Tuscaloosa,AL,35404,100.0,324110.0,1002798,31.8167,-89.0089,Direct Point Emitters,other
1002970.0,110070891262.0,2023.0,CITGO CORPUS CHRISTI REFINERY - WEST PLANT,7350 INTERSTATE HWY. 37,CORPUS CHRISTI,TX,78409,NUECES COUNTY,PDV AMERICA INC,1293 Eldridge Parkway,Houston,TX,77077,100.0,324110.0,1002970,27.8103,-97.49828,Direct Point Emitters,other
1003043.0,110041135580.0,2023.0,Garyville Refinery,155 Sugarcane Road,Garyville,LA,70051,ST. JOHN THE BAPTIST PARISH,MARATHON PETROLEUM CORP,539 South Main Street,Findlay,OH,45840,100.0,324110.0,1003043,30.06132,-90.59353,Direct Point Emitters,MARATHON PETROLEUM CORP
1003286.0,110000377477.0,2023.0,Chevron Pascagoula Refinery,250 Industrial Road,Pascagoula,MS,39581,JACKSON COUNTY,CHEVRON CORP,6001 Bollinger Canyon Road,San Ramon,CA,94583,100.0,324110.0,1003286,30.343733,-88.4938,Direct Point Emitters,CHEVRON CORP
1003472.0,110000422962.0,2023.0,Superior Refining Company LLC,2407 Stinson Ave.,Superior,WI,54880,DOUGLAS COUNTY,HUSKY SUPERIOR REFINING HOLDING CORP,"5550 Blazer Pkwy., Suite 200",Dublin,OH,43017,100.0,324110.0,1003472,46.692333,-92.065361,Direct Point Emitters,other
1003564.0,110043783420.0,2023.0,Marathon El Paso Refinery,212 North Clark Street,EL PASO,TX,79905,EL PASO COUNTY,MARATHON PETROLEUM CORP,539 South Main Street,Findlay,OH,45840,100.0,324110.0,1003564,31.76945,-106.41426,Direct Point Emitters,MARATHON PETROLEUM CORP
