GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE,Facility Id,Latitude,Longitude,_source_sheet,owner
1013657.0,,2023.0,Bedrock 420 Fort Worth Syncline,306 Hwy 380,Bridgeport,TX,76426,,BEDROCK ENERGY PARTNERS LLC,"820 Gessner Rd, Suite 1100",Houston,TX,77024,100.0,211130.0,1013657,33.223764,-97.764994,Onshore Oil & Gas Prod.,other
1013662.0,110070789263.0,2023.0,Taylor Gas Plant,,Midland,TX,79706,MIDLAND COUNTY,NAVITAS MIDSTREAM PARTNERS LLC,"9303 New Trails Drive, Suite 400",The Woodlands,TX,77381,100.0,211130.0,1013662,31.845394,-101.775884,Direct Point Emitters,other
1013663.0,110070716075.0,2023.0,EGT Arkansas,"499 W. Sheridan, Suite 1500",Oklahoma City,OK,73100,OKLAHOMA COUNTY,ENERGY TRANSFER LP,"8111 Westchester Dr, Suite 600",Dallas,TX,75225,100.0,486210.0,1013663,35.46646,-97.52124,Transmission Pipelines,ENERGY TRANSFER LP
1013674.0,,2023.0,Spur Energy Partners LLC,"9655 Katy Freeway, Suite 500",HOUSTON,TX,77024,,SPUR ENERGY PARTNERS HOLDINGS LLC,"9655 Katy Freeway, Suite 500",Houston,TX,77024,100.0,211120.0,1013674,29.781987,-95.535607,Onshore Oil & Gas Prod.,other
1013675.0,110054084959.0,2023.0,Enterprise Products Operating LLC 595 Piceance Basin,1100 Louisiana Street,Houston,TX,77002,HARRIS COUNTY,ENTERPRISE PRODUCTS PARTNERS LP,"1100 Louisiana Street, 10Th Floor",Houston,TX,77002,100.0,486210.0,1013675,29.7574,-95.36843,Gathering & Boosting,ENTERPRISE PRODUCTS PARTNERS LP
1013677.0,,2023.0,Bedrock 415 Strawn Basin,306 Hwy 380,Bridgeport,TX,76426,,BEDROCK ENERGY PARTNERS LLC,"820 Gessner Rd, Suite 1100",Houston,TX,77024,100.0,211130.0,1013677,33.22296,-97.764994,Onshore Oil & Gas Prod.,other
1013685.0,,2023.0,UGIES boosting & gathering facilities,835 Knitting Mills Way,Wyomissing,PA,19610,,UGI CORP,"460 North Gulph Road, Suite 100",King Of Prussia,PA,19406,100.0,211130.0,1013685,40.338698,-75.95478,Gathering & Boosting,other
1013689.0,110070716091.0,2023.0,Makena Gas Plant,,Briggsdale,CO,80611,WELD COUNTY,OUTRIGGER ENERGY II LLC,"1200 17Th Street, Suite 900",Denver,CO,80202,100.0,237120.0,1013689,40.630148,-104.260187,Direct Point Emitters,other
1013691.0,,2023.0,Ensight IV Energy Management,"333 Texas Street, Suite 1919",Shreveport,LA,71101,,ENSIGHT IV ENERGY MANAGEMENT LLC,"333 Texas Street, Suite 1919",Shreveport,LA,71101,100.0,211120.0,1013691,32.513782,-93.747983,Onshore Oil & Gas Prod.,other
1013693.0,110070716027.0,2023.0,Superior Pipeline Company - Reeding Plant,26512 E0860 Rd,Cashion,OK,73016,KINGFISHER COUNTY,UNIT CORP,8200 South Unit Drive,Tulsa,OK,74132,100.0,211130.0,1013693,35.76936,-97.69185,Direct Point Emitters,other
