GHGRP FACILITY ID,year,category,lat,lon
1000831,2010,other,35.7133,-80.3767
1000832,2010,other,35.22,-81.7594
1000833,2010,other,36.4862,-79.7208
1000834,2010,other,35.5975,-80.9658
1000836,2010,other,47.2819,-101.3194
1000837,2010,other,47.0664,-101.2139
1000839,2010,other,40.2522,-80.6486
1000841,2010,other,39.1131,-84.8031
1000842,2010,other,32.812656,-96.842743
1000853,2010,other,38.9161,-82.1281
1000855,2010,other,41.45239,-97.0956
1000857,2010,other,43.576274,-93.301773
1000859,2010,other,35.5089,-97.1789
1000860,2010,other,35.7617,-95.2847
1000861,2010,other,34.9678,-96.7242
1000862,2010,other,36.4317,-95.7008
1000863,2010,other,35.1009,-98.3524
1000864,2010,other,36.1125,-95.9917
1000865,2010,other,35.0847,-98.23
1000866,2010,other,36.4375,-99.2208
1000869,2010,other,39.8439,-75.3575
1000870,2010,other,40.6994,-73.9758
1000872,2010,other,44.111944,-93.678611
1000877,2010,other,40.3842,-79.0611
1000879,2010,other,41.067,-78.3656
1000881,2010,other,36.99067,-79.90194
1000883,2010,other,40.6604,-79.3411
1000884,2010,other,40.9378,-80.3681
1000886,2010,other,40.097,-76.6962
1000892,2010,other,40.796,-75.107
1000893,2010,other,41.0714,-76.6672
1000898,2010,other,39.858,-75.323
1000901,2010,other,41.2033,-76.0683
1000903,2010,other,37.070579,-120.86557
1000904,2010,other,39.1264,-122.1251
1000905,2010,other,41.8167,-71.4042
1000906,2010,other,34.4017,-80.1589
1000907,2010,other,37.09209,-120.9255
1000908,2010,other,34.6022,-82.435
1000909,2010,other,34.0533,-81.2178
1000910,2010,other,33.435,-81.9111
1000911,2010,other,33.8264,-80.6218
1000912,2010,other,33.0163,-79.9285
1000916,2010,top10_other,35.0742,-90.1439
1000917,2010,top10_other,36.0211,-84.1567
1000918,2010,top10_other,36.3767,-82.9639
1000919,2010,top10_other,36.0278,-87.9861
1000924,2010,other,28.7883,-97.01
1000926,2010,other,32.7253,-96.9361
1000928,2010,other,30.4364,-95.5215
1000929,2010,other,29.7483,-94.9272
1000934,2010,other,32.3766,-94.6415
1000936,2010,other,32.8486,-94.5469
1000937,2010,top10_other,33.5239,-101.7392
1000939,2010,top10_other,35.2825,-101.7458
1000941,2010,other,33.135,-98.6117
1000942,2010,other,32.7278,-97.2186
1000947,2010,other,32.1264,-96.1014
1000954,2010,other,30.1456,-97.2708
1000956,2010,other,29.3511,-98.5753
1000959,2010,other,32.6581,-98.3103
1000961,2010,other,37.894847,-86.685793
1000964,2010,other,37.3822,-77.3833
1000966,2010,other,38.5367,-77.2806
1000967,2010,other,38.4731,-81.8233
1000971,2010,other,39.7107,-79.9275
1000976,2010,other,39.8297,-80.8153
1000977,2010,other,39.2014,-79.2667
1000978,2010,top10_other,46.5869,-90.9017
1000979,2010,other,43.0792,-89.3739
1000982,2010,other,42.8457,-87.8294
1000983,2010,other,43.715,-87.7094
1000985,2010,other,45.0869,-87.6881
1000986,2010,other,44.8606,-89.6553
1000987,2010,other,44.082,-87.6558
1000990,2010,other,42.8378,-105.7769
1000991,2010,other,41.7572,-110.5986
1000992,2010,other,33.1707,-96.1264
