GHGRP FACILITY ID,PRIMARY_OPERATOR
1000669.0,AUSTIN ENERGY CORP
1000670.0,WOLVERINE POWER SUPPLY COOPERATIVE INC
1000674.0,DTE ENERGY CO
1000676.0,DTE ENERGY CO
1000678.0,DTE ENERGY CO
1000679.0,DTE ENERGY CO
1000682.0,LANSING BOARD OF WATER & LIGHT
1000683.0,LANSING BOARD OF WATER & LIGHT
1000686.0,ALLETE INC
1000687.0,ALLETE INC
1000688.0,ALLETE INC
1000689.0,XCEL ENERGY INC
1000690.0,XCEL ENERGY INC
1000691.0,XCEL ENERGY INC
1000693.0,XCEL ENERGY INC
1000695.0,ROCHESTER PUBLIC UTILITIES
1000696.0,THE SOUTHERN CO
1000697.0,THE SOUTHERN CO
1000698.0,THE SOUTHERN CO
1000703.0,COOPERATIVE ENERGY A MISSISSIPPI ELECTRIC COOPERATIVE
1000704.0,EVONIK CORP
1000705.0,EVERGY INC
1000707.0,AMEREN CORP
1000708.0,EASTMAN CHEMICAL CO
1000709.0,COLUMBIA CITY OF (INC)
1000710.0,WEITRON INC
1000713.0,CITY UTILITIES OF SPRINGFIELD MISSOURI
1000714.0,STEEL DYNAMICS INC
1000715.0,ASSOCIATED ELECTRIC COOPERATIVE INC
1000716.0,ASSOCIATED ELECTRIC COOPERATIVE INC
1000719.0,TAUBER OIL CO
1000721.0,TAUBER OIL CO
1000722.0,CITY OF FREMONT NEBRASKA
1000725.0,OMAHA PUBLIC POWER DISTRICT
1000726.0,BERKSHIRE HATHAWAY INC
1000729.0,GRANITE SHORE POWER LLC
1000730.0,GRANITE SHORE POWER LLC
1000733.0,CPN MANAGEMENT LP
1000739.0,US GOVERNMENT
1000741.0,"Reorganized Heritage TopCo, LLC"
1000742.0,ARCLIGHT ENERGY PARTNERS FUND VII LP
1000743.0,ARCLIGHT ENERGY PARTNERS FUND VII LP
1000747.0,ARCLIGHT ENERGY PARTNERS FUND VII LP
1000751.0,CITY OF VINELAND NEW JERSEY
1000752.0,EL PASO ELECTRIC CO
1000753.0,XCEL ENERGY INC
1000754.0,PNM RESOURCES INC
1000755.0,XCEL ENERGY INC
1000756.0,US GOVERNMENT
1000758.0,DANSKAMMER ENERGY LLC
1000759.0,ARCLIGHT ENERGY PARTNERS FUND VII LP
1000761.0,CONSOLIDATED EDISON INC
1000763.0,ARCLIGHT ENERGY PARTNERS FUND VI LP
1000764.0,LS POWER EQUITY PARTNERS LP
1000766.0,CONSOLIDATED EDISON INC
1000767.0,CONSOLIDATED EDISON INC
1000768.0,NATIONAL GRID USA
1000771.0,NATIONAL GRID USA
1000774.0,GREENIDGE GENERATION HOLDINGS LLC
1000777.0,ARCLIGHT ENERGY PARTNERS FUND VII LP
1000780.0,"BOWLINE GENERATING STATION, LLC"
1000781.0,CONSOLIDATED EDISON INC
1000782.0,LONGVIEW INTERMEDIATE HOLDINGS C LLC
1000783.0,COUNTY OF CANYON IDAHO
1000784.0,CITY OF JAMESTOWN NEW YORK
1000785.0,DUKE ENERGY CORP
1000786.0,DUKE ENERGY CORP
1000787.0,DUKE ENERGY CORP
1000788.0,CPN MANAGEMENT LP
1000790.0,WEC Energy Group Inc
1000791.0,WASHINGTON COUNTY POWER LLC
1000792.0,HOOSIER ENERGY REC INC
1000793.0,APG POLYTECH HOLDING
1000794.0,ASSOCIATED ELECTRIC COOPERATIVE INC
1000795.0,SAMCHULLY POWER & UTILITIES LLC
1000796.0,CPN MANAGEMENT LP
1000797.0,OHIO CUMBERLAND GAS CO INC
1000798.0,CPN MANAGEMENT LP
1000799.0,NISOURCE INC
1000800.0,ENTERGY CORP
1000801.0,OGLETHORPE POWER CORP
1000802.0,US STEEL CORP
1000803.0,GOLDEN GATE SET PETROLEUM PARTNERS OF NEVADA LLC
1000805.0,CPN MANAGEMENT LP
1000806.0,CPN MANAGEMENT LP
1000807.0,TOTAL HOLDINGS USA INC
1000808.0,"LS Power Development, LLC"
1000809.0,DTE ENERGY CO
1000811.0,OGLETHORPE POWER CORP
1000812.0,THE SOUTHERN CO
1000813.0,CONSTELLATION ENERGY CORP
1000814.0,NORTHERN STAR GENERATION LLC
1000815.0,ENTERGY CORP
1000816.0,DOW INC
1000817.0,MRP Elgin LLC
1000818.0,TENASKA INC
1000819.0,THE SOUTHERN CO
1000821.0,US GOVERNMENT
1000822.0,PINNACLE WEST CAPITAL CORP
1000823.0,"LS Power Development, LLC"
1000824.0,OGE ENERGY CORP
1000825.0,CPN MANAGEMENT LP
1000826.0,ENTERGY CORP
1000827.0,BLACK HILLS CORP
1000828.0,DUKE ENERGY CORP
1000830.0,DUKE ENERGY CORP
1000831.0,DUKE ENERGY CORP
1000832.0,DUKE ENERGY CORP
1000833.0,DUKE ENERGY CORP
1000834.0,DUKE ENERGY CORP
1000836.0,BASIN ELECTRIC POWER COOPERATIVE
1000837.0,MINNKOTA POWER COOPERATIVE INC
1000839.0,BUCKEYE POWER INC
1000841.0,Vistra Corp
1000842.0,UNIVERSITY OF TEXAS SYSTEM
1000853.0,AMERICAN ELECTRIC POWER CO INC
1000854.0,ENTERPRISE PRODUCTS PARTNERS LP
1000855.0,CARGILL INC
1000857.0,POET LLC
1000859.0,OGE ENERGY CORP
1000860.0,OGE ENERGY CORP
1000861.0,OGE ENERGY CORP
1000862.0,AMERICAN ELECTRIC POWER CO INC
1000863.0,AMERICAN ELECTRIC POWER CO INC
1000864.0,AMERICAN ELECTRIC POWER CO INC
1000865.0,WESTERN FARMERS ELECTRIC COOPERATIVE
1000866.0,WESTERN FARMERS ELECTRIC COOPERATIVE
1000869.0,KIMBERLY-CLARK CORP
1000870.0,BROOKLYN NAVY YARD COGENERATION PARTNERS LP
1000872.0,GUARDIAN ENERGY LLC
1000877.0,TALEN ENERGY CORP
1000879.0,"Reorganized Heritage TopCo, LLC"
1000881.0,COUNTY OF FRANKLIN VIRGINIA
1000883.0,ARCLIGHT CAPITAL HOLDINGS LLC
1000884.0,"Reorganized Heritage TopCo, LLC"
1000886.0,TALEN ENERGY CORP
